season,week,team_id,player_id,player_name,position,lineup_slot_id,lineup_slot,is_starter,points
2022,2,9,15847,Travis Kelce,TE,6,TE,True,10.100000000000001
2022,2,9,16737,Mike Evans,WR,4,WR,True,9.100000000000001
2022,2,9,4047650,DK Metcalf,WR,4,WR,True,7.5
2022,2,9,3116165,Chris Godwin,WR,20,BE,False,0.0
2022,2,9,4040761,Devin Singletary,RB,23,FLEX,True,4.1000000000000005
2022,2,9,3128429,Courtland Sutton,WR,23,FLEX,True,19.700000000000003
2022,2,9,4569618,Garrett Wilson,WR,20,BE,False,30.0
2022,2,9,2576434,Melvin Gordon III,RB,20,BE,False,6.300000000000001
2022,2,9,4361370,Chris Olave,WR,20,BE,False,11.0
2022,2,9,4240657,Michael Carter,RB,2,RB,True,10.0
2022,2,9,4362887,Justin Fields,QB,0,QB,True,8.8
2022,2,9,-16023,Steelers D/ST,D/ST,16,D/ST,True,3.0
2022,2,9,3123076,David Njoku,TE,20,BE,False,6.2
2022,2,9,11122,Matt Prater,K,17,K,True,1.0
2022,2,9,2980453,Jamaal Williams,RB,20,BE,False,7.000000000000001
2022,2,7,3116593,Dalvin Cook,RB,2,RB,True,7.6000000000000005
2022,2,7,3116385,Joe Mixon,RB,2,RB,True,11.299999999999999
2022,2,7,3116365,Mark Andrews,TE,6,TE,True,25.700000000000003
2022,2,7,4045163,Miles Sanders,RB,20,BE,False,11.6
2022,2,7,2976316,Michael Thomas,WR,4,WR,True,18.5
2022,2,7,2576925,Darren Waller,TE,20,BE,False,17.0
2022,2,7,4047365,Josh Jacobs,RB,23,FLEX,True,9.100000000000001
2022,2,7,4241372,Marquise Brown,WR,4,WR,True,12.8
2022,2,7,8439,Aaron Rodgers,QB,20,BE,False,20.36
2022,2,7,14881,Russell Wilson,QB,0,QB,True,13.06
2022,2,7,4360939,Rashod Bateman,WR,20,BE,False,23.8
2022,2,7,-16033,Ravens D/ST,D/ST,16,D/ST,True,2.0
2022,2,7,4036348,Michael Gallup,WR,20,BE,False,0.0
2022,2,7,3917232,Tyler Bass,K,17,K,True,12.0
2022,2,7,4048244,Alexander Mattison,RB,20,BE,False,4.4
2022,2,7,3121427,Curtis Samuel,WR,23,FLEX,True,22.9
2022,2,11,3068267,Austin Ekeler,RB,2,RB,True,18.4
