season,team_id,week,actual_points,optimal_points,points_left_on_bench,efficiency_pct,team_name
2023,7,4,144.07999999999998,144.68,0.6000000000000227,99.6,Put it Justin??
2023,8,4,114.46000000000001,161.44,46.97999999999999,70.9,False Shart
2023,9,4,104.92000000000002,167.3,62.379999999999995,62.7,Olivas - Alone
2023,10,4,108.7,126.80000000000001,18.10000000000001,85.7,Team Clucker Fuckers
2023,11,4,118.28,138.28000000000003,20.00000000000003,85.5,Seattle  Ricks 
2023,12,4,153.14000000000001,159.34,6.199999999999989,96.1,El Ultimo Hombre
2023,1,5,109.94000000000001,123.74,13.799999999999983,88.8,MaChungus
2023,2,5,135.52,168.92000000000002,33.400000000000006,80.2,Show Me Dem TDs
2023,3,5,94.14000000000001,151.08,56.94,62.3,Kareemin' My Jeans
2023,4,5,136.42000000000002,136.42,-2.842170943040401e-14,100.0,Greendale Human Beings
2023,5,5,103.52000000000001,104.68000000000002,1.1600000000000108,98.9,One-cut Heroes
2023,6,5,142.84,180.04000000000002,37.20000000000002,79.3,Whos Yurdatty
2023,7,5,132.1,142.90000000000003,10.80000000000004,92.4,Put it Justin??
2023,8,5,121.04000000000002,130.54,9.499999999999972,92.7,False Shart
2023,9,5,180.88,182.98,2.0999999999999943,98.9,Olivas - Alone
2023,10,5,150.35999999999999,171.26,20.900000000000006,87.8,Team Clucker Fuckers
2023,11,5,124.06,130.66,6.599999999999994,94.9,Seattle  Ricks 
2023,12,5,151.96,158.56000000000003,6.600000000000023,95.8,El Ultimo Hombre
2023,1,6,127.53999999999999,138.84,11.300000000000011,91.9,MaChungus
2023,2,6,114.3,135.78,21.480000000000004,84.2,Show Me Dem TDs
2023,3,6,109.80000000000001,117.69999999999999,7.899999999999977,93.3,Kareemin' My Jeans
2023,4,6,137.38,141.98000000000002,4.600000000000023,96.8,Greendale Human Beings
2023,5,6,98.24,107.14,8.900000000000006,91.7,One-cut Heroes
2023,6,6,167.01999999999998,181.81999999999996,14.799999999999983,91.9,Whos Yurdatty
2023,7,6,98.94000000000001,104.54,5.599999999999994,94.6,Put it Justin??
2023,8,6,118.04000000000002,128.90000000000003,10.860000000000014,91.6,False Shart
2023,9,6,118.70000000000002,135.36,16.659999999999997,87.7,Olivas - Alone
2023,10,6,150.1,164.99999999999997,14.899999999999977,91.0,Team Clucker Fuckers
2023,11,6,120.53999999999999,144.78,24.24000000000001,83.3,Seattle  Ricks 
2023,12,6,111.06,120.56,9.5,92.1,El Ultimo Hombre
2023,1,7,174.26,183.66,9.400000000000006,94.9,MaChungus
2023,2,7,112.06000000000002,114.06,1.9999999999999858,98.2,Show Me Dem TDs
2023,3,7,126.16,132.26,6.099999999999994,95.4,Kareemin' My Jeans
2023,4,7,114.24000000000001,141.77999999999997,27.539999999999964,80.6,Greendale Human Beings
2023,5,7,92.04,121.5,29.459999999999994,75.8,One-cut Heroes
2023,6,7,109.26,127.36,18.099999999999994,85.8,Whos Yurdatty
2023,7,7,119.35999999999999,135.45999999999998,16.099999999999994,88.1,Put it Justin??
2023,8,7,145.39999999999998,158.9,13.500000000000028,91.5,False Shart
2023,9,7,135.3,135.29999999999998,-2.842170943040401e-14,100.0,Olivas - Alone
2023,10,7,146.3,154.20000000000002,7.900000000000006,94.9,Team Clucker Fuckers
2023,11,7,102.36000000000001,127.52,25.159999999999982,80.3,Seattle  Ricks 
2023,12,7,122.1,133.79999999999998,11.699999999999989,91.3,El Ultimo Hombre
2023,1,8,110.99999999999999,123.09999999999998,12.099999999999994,90.2,MaChungus
2023,2,8,147.65999999999997,160.95999999999998,13.300000000000011,91.7,Show Me Dem TDs
2023,3,8,103.06,132.76,29.69999999999999,77.6,Kareemin' My Jeans
2023,4,8,133.38,178.66,45.28,74.7,Greendale Human Beings
2023,5,8,124.67999999999999,145.96,21.280000000000015,85.4,One-cut Heroes
2023,6,8,139.78000000000003,191.58000000000004,51.80000000000001,73.0,Whos Yurdatty
2023,7,8,83.08000000000001,105.80000000000001,22.72,78.5,Put it Justin??
2023,8,8,209.98,217.22,7.240000000000009,96.7,False Shart
2023,9,8,131.16000000000003,143.56,12.399999999999977,91.4,Olivas - Alone
2023,10,8,123.12,157.62,34.5,78.1,Team Clucker Fuckers
2023,11,8,148.72,150.51999999999998,1.799999999999983,98.8,Seattle  Ricks 
2023,12,8,120.29999999999998,151.96,31.660000000000025,79.2,El Ultimo Hombre
2023,1,9,104.89999999999999,116.4,11.500000000000014,90.1,MaChungus
2023,2,9,120.48,141.66000000000003,21.18000000000002,85.0,Show Me Dem TDs
2023,3,9,134.02,135.92000000000002,1.9000000000000057,98.6,Kareemin' My Jeans
2023,4,9,129.32,142.01999999999998,12.699999999999989,91.1,Greendale Human Beings
2023,5,9,71.2,123.12,51.92,57.8,One-cut Heroes
2023,6,9,107.29999999999998,136.0,28.700000000000017,78.9,Whos Yurdatty
2023,7,9,109.64,109.64000000000001,1.4210854715202004e-14,100.0,Put it Justin??
2023,8,9,150.9,159.72,8.819999999999993,94.5,False Shart
2023,9,9,170.92000000000002,170.92,-2.842170943040401e-14,100.0,Olivas - Alone
2023,10,9,123.92,153.22000000000003,29.300000000000026,80.9,Team Clucker Fuckers
2023,11,9,83.34,85.84,2.5,97.1,Seattle  Ricks 
2023,12,9,164.22000000000003,179.22000000000003,15.0,91.6,El Ultimo Hombre
2023,1,10,129.29999999999998,135.8,6.500000000000028,95.2,MaChungus
2023,2,10,137.96,140.45999999999998,2.4999999999999716,98.2,Show Me Dem TDs
2023,3,10,85.52,117.62,32.10000000000001,72.7,Kareemin' My Jeans
2023,4,10,121.82,136.32,14.5,89.4,Greendale Human Beings
